Date,Price,Open,High,Low,Vol.,Change %
2/17/2020,49700.00,49800.00,49800.00,48950.00,1490000.00,0.00
2/18/2020,49700.00,49200.00,49700.00,49200.00,591220.00,0.00
2/19/2020,50400.00,49600.00,51700.00,49600.00,1820000.00,0.01
2/20/2020,51100.00,50900.00,51400.00,50400.00,1370000.00,0.01
2/21/2020,53000.00,51500.00,54000.00,51500.00,2060000.00,0.04
2/24/2020,51100.00,51600.00,52500.00,51000.00,1430000.00,-0.04
2/25/2020,50600.00,50500.00,51300.00,49800.00,896710.00,-0.01
2/26/2020,49750.00,49800.00,50300.00,49000.00,1250000.00,-0.02
2/27/2020,49700.00,49200.00,49800.00,48800.00,1640000.00,0.00
2/28/2020,49000.00,49700.00,49700.00,47700.00,2260000.00,-0.01
3/2/2020,49000.00,48350.00,49000.00,47850.00,1590000.00,0.00
3/3/2020,49000.00,49200.00,49800.00,48500.00,1230000.00,0.00
3/4/2020,49000.00,48900.00,49350.00,48650.00,909830.00,0.00
3/5/2020,50900.00,49450.00,52000.00,49150.00,1780000.00,0.04
3/6/2020,54400.00,50800.00,54400.00,50100.00,2790000.00,0.07
3/9/2020,52000.00,53000.00,56800.00,51000.00,4210000.00,-0.04
3/10/2020,52400.00,52900.00,53800.00,52000.00,2390000.00,0.01
3/11/2020,49950.00,53300.00,53300.00,49200.00,2640000.00,-0.05
3/12/2020,49950.00,47200.00,49950.00,46500.00,4070000.00,0.00
3/13/2020,49850.00,46500.00,49950.00,46500.00,3780000.00,0.00
3/16/2020,40414.00,40006.00,40659.00,38781.00,3860000.00,-0.19
3/17/2020,40414.00,39190.00,40414.00,38945.00,4650000.00,0.00
3/18/2020,40333.00,40414.00,40578.00,39843.00,2600000.00,0.00
3/19/2020,40169.00,39598.00,40169.00,39230.00,4020000.00,0.00
3/20/2020,40169.00,40006.00,40169.00,39026.00,4950000.00,0.00
3/23/2020,40169.00,39271.00,40169.00,37883.00,6030000.00,0.00
3/24/2020,40088.00,39598.00,40088.00,39434.00,4270000.00,0.00
3/25/2020,40088.00,40006.00,40578.00,39598.00,3430000.00,0.00
3/26/2020,40006.00,40006.00,40169.00,39639.00,3320000.00,0.00
3/27/2020,40251.00,39761.00,41639.00,39598.00,3110000.00,0.01
3/30/2020,40088.00,39598.00,40088.00,39516.00,1650000.00,0.00
3/31/2020,40006.00,40088.00,40741.00,39353.00,4400000.00,0.00
4/1/2020,40169.00,39843.00,40822.00,39843.00,2070000.00,0.00
4/3/2020,42700.00,40496.00,42700.00,40414.00,2210000.00,0.06
4/6/2020,45639.00,43517.00,45639.00,43353.00,3070000.00,0.07
4/7/2020,46946.00,46374.00,47681.00,44986.00,2520000.00,0.03
