Date,Price,Open,High,Low,Vol.,Change %
3/15/2021,19827.50,20006.70,20126.10,19827.50,11020000.00,-0.01
3/16/2021,19528.90,19827.50,19827.50,19349.70,20150000.00,-0.02
3/17/2021,19469.20,19379.60,19648.40,19319.90,11680000.00,0.00
3/18/2021,19887.20,19827.50,20006.70,19708.10,10990000.00,0.02
3/19/2021,19887.20,19767.80,20305.30,19767.80,17330000.00,0.00
3/22/2021,19947.00,20066.40,20156.00,19827.50,11810000.00,0.00
3/23/2021,19648.40,19947.00,19947.00,19439.30,13710000.00,-0.02
3/24/2021,18692.80,19290.00,19558.80,18513.60,20620000.00,-0.05
3/25/2021,18394.20,18812.30,18961.60,18334.50,20600000.00,-0.02
3/26/2021,18453.90,18304.60,18573.40,17558.10,15750000.00,0.00
3/29/2021,18752.50,18692.80,18782.40,18513.60,8840000.00,0.02
3/30/2021,18991.40,19051.10,19051.10,18633.10,11310000.00,0.01
3/31/2021,18961.60,18931.70,19200.40,18901.80,11870000.00,0.00
4/1/2021,20275.40,18991.40,20275.40,18961.60,34010000.00,0.07
4/2/2021,20484.50,20842.80,20872.60,20335.10,21440000.00,0.01
4/5/2021,20902.50,20902.50,21201.10,20544.20,28980000.00,0.02
4/6/2021,20902.50,20603.90,21081.70,20603.90,24670000.00,0.00
4/7/2021,21111.50,20902.50,21201.10,20783.10,20190000.00,0.01
4/8/2021,21021.90,21320.60,21320.60,20872.60,17080000.00,0.00
4/9/2021,21051.80,20962.20,21320.60,20902.50,17670000.00,0.00
4/12/2021,21798.30,21260.80,22007.30,21021.90,26340000.00,0.04
4/13/2021,21260.80,22037.20,22037.20,20992.10,27430000.00,-0.02
4/14/2021,21469.90,21021.90,21619.20,20902.50,25630000.00,0.01
4/15/2021,20812.90,21469.90,21469.90,20723.30,29070000.00,-0.03
4/16/2021,20305.30,20693.50,20932.40,19887.20,28280000.00,-0.02
4/19/2021,20783.10,20603.90,20783.10,20185.80,18440000.00,0.02
4/20/2021,20365.00,21201.10,21231.00,20245.60,23140000.00,-0.02
4/22/2021,18961.60,20066.40,20305.30,18961.60,22960000.00,-0.07
4/23/2021,19708.10,19110.90,19708.10,18842.10,22790000.00,0.04
4/26/2021,18931.70,19708.10,19767.80,18872.00,15420000.00,-0.04
4/27/2021,18991.40,18931.70,19110.90,18603.20,8310000.00,0.00
4/28/2021,19170.60,18991.40,19439.30,18931.70,13590000.00,0.01
4/29/2021,19469.20,19170.60,19708.10,19170.60,14240000.00,0.02
5/4/2021,19648.40,18991.40,19648.40,18872.00,15530000.00,0.01
5/5/2021,20066.40,19767.80,20424.70,19678.20,19240000.00,0.02
5/6/2021,19618.50,20006.70,20275.40,19558.80,16640000.00,-0.02
5/7/2021,19528.90,19409.50,20006.70,19349.70,14550000.00,0.00
