Date,Price,Open,High,Low,Vol.,Change %
9/23/2019,8283.70,8283.70,8372.80,8254.00,407400.00,0.00
9/24/2019,8283.70,8283.70,8313.40,8224.30,324750.00,0.00
9/25/2019,8283.70,8283.70,8283.70,8224.30,131210.00,0.00
9/26/2019,8461.90,8283.70,8580.60,8283.70,1210000.00,0.02
9/27/2019,8640.00,8550.90,8729.10,8550.90,801410.00,0.02
9/30/2019,8580.60,8699.40,8758.80,8580.60,594660.00,-0.01
10/1/2019,8402.50,8550.90,8550.90,8343.10,1210000.00,-0.02
10/2/2019,8372.80,8432.20,8432.20,8343.10,858010.00,0.00
10/3/2019,8372.80,8343.10,8372.80,8224.30,879230.00,0.00
10/4/2019,8372.80,8372.80,8432.20,8283.70,632420.00,0.00
10/7/2019,8313.40,8372.80,8372.80,8194.70,493510.00,-0.01
10/8/2019,8313.40,8313.40,8313.40,8165.00,668300.00,0.00
10/9/2019,8283.70,8313.40,8313.40,8224.30,222630.00,0.00
10/10/2019,8283.70,8224.30,8283.70,8165.00,579480.00,0.00
10/11/2019,8254.00,8283.70,8283.70,8135.30,602640.00,0.00
10/14/2019,8016.50,8254.00,8283.70,7897.70,2980000.00,-0.03
10/15/2019,8194.70,8075.90,8194.70,8016.50,365050.00,0.02
10/16/2019,8194.70,8194.70,8194.70,8016.50,444180.00,0.00
10/17/2019,8135.30,8135.30,8135.30,8016.50,568110.00,-0.01
10/18/2019,8075.90,8135.30,8135.30,8016.50,415060.00,-0.01
10/21/2019,8165.00,8075.90,8165.00,7897.70,690960.00,0.01
10/22/2019,8165.00,8046.20,8165.00,8016.50,395870.00,0.00
10/23/2019,8165.00,8165.00,8165.00,8075.90,204400.00,0.00
10/24/2019,8165.00,8165.00,8165.00,8016.50,470960.00,0.00
10/25/2019,8016.50,8165.00,8165.00,8016.50,569580.00,-0.02
10/28/2019,8075.90,8016.50,8075.90,7986.80,359210.00,0.01
10/29/2019,8075.90,8075.90,8075.90,7957.10,755370.00,0.00
10/30/2019,8075.90,8016.50,8105.60,7986.80,627430.00,0.00
10/31/2019,8075.90,8075.90,8075.90,7986.80,460260.00,0.00
11/1/2019,8135.30,7986.80,8135.30,7986.80,504870.00,0.01
11/4/2019,8165.00,8165.00,8194.70,8105.60,502490.00,0.00
11/5/2019,8194.70,8165.00,8224.30,8135.30,184690.00,0.00
11/6/2019,8194.70,8194.70,8254.00,8075.90,625830.00,0.00
11/7/2019,8372.80,8194.70,8372.80,8135.30,956910.00,0.02
11/8/2019,8432.20,8402.50,8521.30,8372.80,1220000.00,0.01
11/11/2019,8432.20,8432.20,8461.90,8313.40,888170.00,0.00
11/12/2019,8402.50,8432.20,8432.20,8313.40,833470.00,0.00
11/13/2019,8372.80,8402.50,8402.50,8313.40,500860.00,0.00
11/14/2019,8372.80,8402.50,8402.50,8254.00,522430.00,0.00
11/15/2019,8432.20,8313.40,8432.20,8254.00,810000.00,0.01
11/18/2019,8313.40,8343.10,8402.50,8313.40,472270.00,-0.01
11/19/2019,8343.10,8283.70,8343.10,8254.00,421330.00,0.00
11/20/2019,8313.40,8313.40,8372.80,8313.40,305750.00,0.00
11/21/2019,8313.40,8283.70,8313.40,8254.00,279900.00,0.00
11/22/2019,8313.40,8313.40,8313.40,8016.50,443620.00,0.00
11/25/2019,8283.70,8313.40,8313.40,8194.70,183280.00,0.00
11/26/2019,8313.40,8283.70,8313.40,8254.00,265730.00,0.00
11/27/2019,8283.70,8313.40,8313.40,8254.00,384120.00,0.00
11/28/2019,8254.00,8283.70,8283.70,8165.00,167700.00,0.00
11/29/2019,8224.30,8194.70,8224.30,8075.90,409000.00,0.00
12/2/2019,8224.30,8224.30,8224.30,8075.90,297810.00,0.00
12/3/2019,8194.70,8224.30,8224.30,8105.60,203700.00,0.00
12/4/2019,8224.30,8135.30,8224.30,8105.60,193060.00,0.00
12/5/2019,8224.30,8224.30,8224.30,8105.60,210600.00,0.00
12/6/2019,8224.30,8135.30,8254.00,8105.60,146740.00,0.00
12/9/2019,8224.30,8224.30,8224.30,8165.00,182130.00,0.00
12/10/2019,8254.00,8224.30,8283.70,8194.70,549680.00,0.00
12/11/2019,8254.00,8194.70,8254.00,8165.00,107550.00,0.00
12/12/2019,8580.60,8194.70,8580.60,8135.30,326330.00,0.04
12/13/2019,8521.30,8550.90,8550.90,8343.10,329970.00,-0.01
12/16/2019,8521.30,8521.30,8550.90,8491.60,266610.00,0.00
12/17/2019,8580.60,8550.90,8580.60,8432.20,566190.00,0.01
12/18/2019,8610.30,8610.30,8610.30,8461.90,250420.00,0.00
12/19/2019,8640.00,8491.60,8640.00,8491.60,256910.00,0.00
12/20/2019,8610.30,8640.00,8640.00,8313.40,667540.00,0.00
12/23/2019,8610.30,8610.30,8610.30,8491.60,148850.00,0.00
12/24/2019,8550.90,8610.30,8610.30,8432.20,303500.00,-0.01
12/25/2019,8580.60,8343.10,8580.60,8343.10,244170.00,0.00
12/26/2019,8550.90,8550.90,8550.90,8402.50,298340.00,0.00
12/27/2019,8550.90,8491.60,8610.30,8432.20,204980.00,0.00
12/30/2019,8521.30,8402.50,8580.60,8402.50,305340.00,0.00
12/31/2019,8550.90,8550.90,8550.90,8372.80,173710.00,0.00
1/2/2020,8580.60,8343.10,8580.60,8343.10,93600.00,0.00
1/3/2020,8550.90,8580.60,8580.60,8402.50,261940.00,0.00
1/6/2020,8491.60,8432.20,8550.90,8372.80,238280.00,-0.01
1/7/2020,8491.60,8491.60,8491.60,8372.80,108740.00,0.00
1/8/2020,8372.80,8372.80,8402.50,8194.70,373690.00,-0.01
1/9/2020,8461.90,8372.80,8461.90,8372.80,148080.00,0.01
1/10/2020,8491.60,8461.90,8491.60,8432.20,143500.00,0.00
1/13/2020,8491.60,8491.60,8521.30,8432.20,174750.00,0.00
1/14/2020,8461.90,8343.10,8521.30,8343.10,185550.00,0.00
1/15/2020,8432.20,8461.90,8521.30,8402.50,175610.00,0.00
